,COREF,start_token,end_token,prop,cat,text,character_name
4283,20,33048,33048,PRON,PER,his,Mr. Ebenezer Scrooge
4284,20,33051,33051,PRON,PER,He,Mr. Ebenezer Scrooge
4285,20,33057,33057,PRON,PER,his,Mr. Ebenezer Scrooge
4287,20,33064,33064,PRON,PER,his,Mr. Ebenezer Scrooge
4288,20,33080,33080,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4289,20,33085,33085,PRON,PER,his,Mr. Ebenezer Scrooge
4290,20,33090,33090,PRON,PER,his,Mr. Ebenezer Scrooge
4292,20,33108,33108,PRON,PER,I,Mr. Ebenezer Scrooge
4293,20,33129,33129,PRON,PER,I,Mr. Ebenezer Scrooge
4295,20,33135,33135,PRON,PER,His,Mr. Ebenezer Scrooge
4296,20,33140,33140,PRON,PER,his,Mr. Ebenezer Scrooge
4298,20,33173,33173,PRON,PER,I,Mr. Ebenezer Scrooge
4299,20,33183,33183,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4300,20,33199,33199,PRON,PER,himself,Mr. Ebenezer Scrooge
4301,20,33201,33201,PRON,PER,his,Mr. Ebenezer Scrooge
4302,20,33205,33205,PRON,PER,I,Mr. Ebenezer Scrooge
4303,20,33213,33213,PRON,PER,I,Mr. Ebenezer Scrooge
4305,20,33221,33221,PRON,PER,I,Mr. Ebenezer Scrooge
4307,20,33229,33229,PRON,PER,I,Mr. Ebenezer Scrooge
4312,20,33261,33261,PRON,PER,He,Mr. Ebenezer Scrooge
4314,20,33292,33292,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4316,16,33314,33315,PROP,PER,Jacob Marley,Old Jacob Marley
4318,20,33335,33335,PRON,PER,I,Mr. Ebenezer Scrooge
4322,20,33402,33402,PRON,PER,I,Mr. Ebenezer Scrooge
4323,20,33416,33416,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4326,66,33429,33430,PROP,PER,the Spirits,THE SPIRITS The Phantom
4340,20,33585,33585,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4345,20,33627,33627,PRON,PER,my,Mr. Ebenezer Scrooge
4347,20,33633,33633,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4349,20,33660,33660,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4350,20,33662,33662,PRON,PER,himself,Mr. Ebenezer Scrooge
4351,20,33665,33665,PRON,PER,I,Mr. Ebenezer Scrooge
4352,66,33671,33672,PROP,PER,The Spirits,THE SPIRITS The Phantom
4357,20,33700,33700,PRON,PER,my,Mr. Ebenezer Scrooge
4363,20,33732,33732,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4368,20,33754,33754,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4376,20,33809,33809,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4378,20,33823,33823,PRON,PER,my,Mr. Ebenezer Scrooge
4381,20,33845,33845,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4383,20,33871,33871,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4384,20,33874,33874,PRON,PER,I,Mr. Ebenezer Scrooge
4398,20,33970,33970,PRON,PER,I,Mr. Ebenezer Scrooge
4399,54,33975,33976,PROP,PER,Bob Cratchit,Bob Cratchit
4400,20,33981,33981,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4401,20,33984,33984,PRON,PER,his,Mr. Ebenezer Scrooge
4402,54,33994,33994,PRON,PER,He,Bob Cratchit
4404,58,34008,34009,PROP,PER,Tiny Tim,poor Tiny Tim
4405,69,34011,34012,PROP,PER,Joe Miller,Joe Miller
4406,54,34022,34022,PROP,PER,Bob,Bob Cratchit
4407,20,34032,34032,PRON,PER,he,Mr. Ebenezer Scrooge
4408,20,34045,34045,PRON,PER,he,Mr. Ebenezer Scrooge
4412,20,34071,34071,PRON,PER,he,Mr. Ebenezer Scrooge
4413,20,34076,34076,PRON,PER,his,Mr. Ebenezer Scrooge
4415,20,34082,34082,PRON,PER,his,Mr. Ebenezer Scrooge
4416,20,34086,34086,PRON,PER,I,Mr. Ebenezer Scrooge
4417,20,34093,34093,PRON,PER,I,Mr. Ebenezer Scrooge
4418,20,34098,34098,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4419,20,34103,34103,PRON,PER,his,Mr. Ebenezer Scrooge
4420,20,34107,34107,PRON,PER,I,Mr. Ebenezer Scrooge
4422,20,34140,34140,PRON,PER,you,Mr. Ebenezer Scrooge
4423,20,34153,34153,PRON,PER,He,Mr. Ebenezer Scrooge
4424,20,34159,34159,PRON,PER,his,Mr. Ebenezer Scrooge
4425,20,34165,34165,PRON,PER,He,Mr. Ebenezer Scrooge
4427,20,34198,34198,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4428,20,34201,34201,PRON,PER,You,Mr. Ebenezer Scrooge
4430,20,34212,34212,PRON,PER,he,Mr. Ebenezer Scrooge
4431,20,34221,34221,PRON,PER,he,Mr. Ebenezer Scrooge
4432,20,34232,34232,PRON,PER,he,Mr. Ebenezer Scrooge
4434,20,34243,34243,PRON,PER,he,Mr. Ebenezer Scrooge
4436,20,34258,34258,PRON,PER,he,Mr. Ebenezer Scrooge
4437,20,34263,34263,PRON,PER,his,Mr. Ebenezer Scrooge
4438,20,34270,34270,PRON,PER,he,Mr. Ebenezer Scrooge
4439,20,34281,34281,PRON,PER,his,Mr. Ebenezer Scrooge
4442,20,34308,34308,PRON,PER,he,Mr. Ebenezer Scrooge
4443,20,34314,34314,PRON,PER,his,Mr. Ebenezer Scrooge
4444,20,34318,34318,PRON,PER,he,Mr. Ebenezer Scrooge
4445,20,34336,34336,PRON,PER,He,Mr. Ebenezer Scrooge
4446,20,34338,34338,PRON,PER,himself,Mr. Ebenezer Scrooge
4447,20,34342,34342,PRON,PER,his,Mr. Ebenezer Scrooge
4450,20,34365,34365,PRON,PER,he,Mr. Ebenezer Scrooge
4453,20,34380,34380,PRON,PER,his,Mr. Ebenezer Scrooge
4454,20,34383,34383,PRON,PER,him,Mr. Ebenezer Scrooge
4455,20,34385,34385,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4457,20,34394,34394,PRON,PER,He,Mr. Ebenezer Scrooge
4461,20,34428,34429,PROP,PER,And Scrooge,Mr. Ebenezer Scrooge
4462,20,34440,34440,PRON,PER,he,Mr. Ebenezer Scrooge
4463,20,34450,34450,PRON,PER,his,Mr. Ebenezer Scrooge
4464,20,34453,34453,PRON,PER,He,Mr. Ebenezer Scrooge
4465,20,34463,34463,PRON,PER,him,Mr. Ebenezer Scrooge
4466,20,34465,34465,PRON,PER,he,Mr. Ebenezer Scrooge
4468,20,34474,34474,PRON,PER,his,Mr. Ebenezer Scrooge
4470,20,34486,34486,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4471,16,34488,34488,PROP,PER,Marley,Old Jacob Marley
4472,20,34491,34491,PRON,PER,I,Mr. Ebenezer Scrooge
4473,20,34500,34500,PRON,PER,his,Mr. Ebenezer Scrooge
4475,20,34511,34511,PRON,PER,him,Mr. Ebenezer Scrooge
4477,20,34517,34517,PRON,PER,he,Mr. Ebenezer Scrooge
4478,20,34524,34524,PRON,PER,him,Mr. Ebenezer Scrooge
4479,20,34527,34527,PRON,PER,he,Mr. Ebenezer Scrooge
4480,20,34532,34532,PRON,PER,My,Mr. Ebenezer Scrooge
4482,20,34538,34538,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4483,20,34541,34541,PRON,PER,his,Mr. Ebenezer Scrooge
4485,20,34551,34551,PRON,PER,his,Mr. Ebenezer Scrooge
4487,20,34560,34560,PRON,PER,I,Mr. Ebenezer Scrooge
4492,20,34583,34584,PROP,PER,Mr. Scrooge,Mr. Ebenezer Scrooge
4493,20,34592,34592,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4494,20,34597,34597,PRON,PER,my,Mr. Ebenezer Scrooge
4495,20,34601,34601,PRON,PER,I,Mr. Ebenezer Scrooge
4497,20,34612,34612,PRON,PER,me,Mr. Ebenezer Scrooge
4500,20,34626,34626,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4508,20,34653,34654,PROP,PER,Mr. Scrooge,Mr. Ebenezer Scrooge
4509,20,34657,34657,PRON,PER,you,Mr. Ebenezer Scrooge
4511,20,34668,34668,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4512,20,34687,34687,PRON,PER,I,Mr. Ebenezer Scrooge
4515,20,34694,34694,PRON,PER,me,Mr. Ebenezer Scrooge
4522,20,34736,34736,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4523,20,34742,34742,PRON,PER,me,Mr. Ebenezer Scrooge
4525,20,34749,34749,PRON,PER,me,Mr. Ebenezer Scrooge
4530,20,34777,34777,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4531,20,34780,34780,PRON,PER,I,Mr. Ebenezer Scrooge
4533,20,34787,34787,PRON,PER,I,Mr. Ebenezer Scrooge
4558,20,34918,34918,PRON,PER,my,Mr. Ebenezer Scrooge
4560,20,34923,34923,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4565,20,34946,34946,PRON,PER,my,Mr. Ebenezer Scrooge
4567,20,34951,34951,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4577,20,34984,34984,PRON,PER,me,Mr. Ebenezer Scrooge
4578,20,34988,34988,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
4579,20,34991,34991,PRON,PER,his,Mr. Ebenezer Scrooge
4580,20,35002,35002,PRON,PER,I,Mr. Ebenezer Scrooge
4582,20,35008,35008,PRON,PER,my,Mr. Ebenezer Scrooge
4584,20,35012,35012,PRON,PER,He,Mr. Ebenezer Scrooge
